Sample,Input,Output
0,0,0
1,0.0313242,0
2,0.0625253,0
3,0.0934807,0
4,0.124069,0
5,0.15417,0
6,0.183665,0
7,0.212438,0
8,0.240377,0
9,0.267372,0
10,0.293316,0
11,0.318108,0
12,0.34165,0
13,0.36385,0
14,0.38462,0
15,0.403879,0
16,0.421552,0
17,0.437569,0
18,0.451866,0
19,0.464388,0
20,0.475086,0
21,0.483917,0
22,0.490848,0
23,0.495849,0
24,0.498903,0
25,0.499997,0
26,0.499126,0
27,0.496295,0
28,0.491513,0
29,0.484801,0
30,0.476184,0
31,0.465697,0
32,0.453379,0
33,0.439281,0
34,0.423457,0
35,0.405969,0
36,0.386886,0
37,0.366284,0
38,0.344242,0
39,0.320848,0
40,0.296193,0
41,0.270375,0
42,0.243494,0
43,0.215657,0
44,0.186973,0
45,0.157554,0
46,0.127516,0
47,0.0969774,0
48,0.0660576,0
49,0.0348782,0
50,0.00356187,0
51,-0.0277685,0
52,-0.0589898,0
53,-0.0899793,0
54,-0.120615,0
55,-0.150777,0
56,-0.180347,0
57,-0.209209,0
58,-0.237248,0
59,-0.264355,0
60,-0.290424,0
61,-0.315352,0
62,-0.339041,0
63,-0.361397,0
64,-0.382334,0
65,-0.401769,0
66,-0.419626,0
67,-0.435834,0
68,-0.45033,0
69,-0.463056,0
70,-0.473964,0
71,-0.483009,0
72,-0.490157,0
73,-0.495379,0
74,-0.498655,0
75,-0.499971,0
76,-0.499324,0
77,-0.496715,0
78,-0.492154,0
79,-0.48566,0
80,-0.477258,0
81,-0.466981,0
82,-0.45487,0
83,-0.440971,0
84,-0.42534,0
85,-0.408038,0
86,-0.389133,0
87,-0.368699,0
88,-0.346816,0
89,-0.323571,0
90,-0.299055,0
91,-0.273364,0
92,-0.246599,0
93,-0.218865,0
94,-0.190272,0
95,-0.160931,0
96,-0.130957,0
97,-0.100469,0
98,-0.0695866,0
99,-0.0384305,0
100,-0.00712355,0
101,0.0242114,0
102,0.0554513,0
103,0.0864733,0
104,0.117156,0
105,0.147378,0
106,0.177021,0
107,0.205968,0
108,0.234107,0
109,0.261325,0
110,0.287517,0
111,0.31258,0
112,0.336414,0
113,0.358927,0
114,0.380029,0
115,0.399639,0
116,0.417679,0
117,0.434077,0
118,0.448771,0
119,0.461701,0
120,0.472817,0
121,0.482076,0
122,0.489441,0
123,0.494883,0
124,0.498381,0
125,0.499921,0
126,0.499497,0
127,0.49711,0
128,0.49277,0
129,0.486495,0
130,0.478308,0
131,0.468242,0
132,0.456337,0
133,0.442639,0
134,0.427202,0
135,0.410086,0
136,0.39136,0
137,0.371095,0
138,0.349373,0
139,0.326279,0
140,0.301902,0
141,0.27634,0
142,0.249691,0
143,0.222062,0
144,0.193561,0
145,0.164299,0
146,0.134391,0
147,0.103956,0
148,0.073112,0
149,0.0419809,0
150,0.0106849,0
151,-0.0206531,0
152,-0.05191,0
153,-0.0829629,0
154,-0.11369,0
155,-0.14397,0
156,-0.173685,0
157,-0.202717,0
158,-0.230953,0
159,-0.258282,0
160,-0.284596,0
161,-0.309792,0
162,-0.33377,0
163,-0.356438,0
164,-0.377705,0
165,-0.397488,0
166,-0.41571,0
167,-0.432299,0
168,-0.447189,0
169,-0.460322,0
170,-0.471647,0
171,-0.481119,0
172,-0.4887,0
173,-0.494362,0
174,-0.498082,0
175,-0.499845,0
176,-0.499644,0
177,-0.49748,0
178,-0.493362,0
179,-0.487305,0
180,-0.479334,0
181,-0.46948,0
182,-0.457781,0
183,-0.444284,0
184,-0.429042,0
185,-0.412114,0
186,-0.393566,0
187,-0.373473,0
188,-0.351912,0
189,-0.328969,0
190,-0.304734,0
191,-0.279301,0
192,-0.252771,0
193,-0.225248,0
194,-0.19684,0
195,-0.167659,0
196,-0.137819,0
197,-0.107437,0
198,-0.0766337,0
199,-0.0455291,0
200,-0.0142457,0
201,0.0170938,0
202,0.048366,0
203,0.0794483,0
204,0.110218,0
